lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Tanno,  Livia, 111, 57.4, , 18, SUI, Switzerland, Regular, , , , , , , , , 
Gardner,  Addison, 112, 57.28, , , USA, United States, , , , , , , , , , 
Li,  Dongyu, 113, 56.13, , , CHN, China, , , , , , , , , , 
Kristiansen Rue,  Andrea, 114, 54.58, , , NOR, Norway, , , , , , , , , , 
Moroco,  Alyssa, 115, 54.1, , , USA, United States, , , , , , , , , , 
Malinauskaite,  Guoda Saule, 116, 53.95, , , LTU, Lithuania, , , , , , , , , , 
Hill,  Maisie, 117, 50.87, , 19, GBR, United Kingdom, , , , , , , , , , 
Abou,  Lola, 118, 49.72, , 22, FRA, France, Goofy, , , , , , , , , 
Hahnl,  Laura, 119, 47.3, , , GER, Germany, , , , , , , , , , 
Kalinovska,  Tina, 120, 47.22, , , LAT, LAT, , , , , , , , , , 
Pecanin,  Uma, 121, 45.04, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Rue,  Thea Christine, 122, 43.65, , , NOR, Norway, , , , , , , , , , 
Sarkipaju,  Telma, 123, 43.49, , , FIN, Finland, , , , , , , , , , 
Vachet,  Gaia, 124, 42.45, , , ITA, Italy, , , , , , , , , , 
Cospolich,  Alina, 125, 42.23, Bern Unlimited | , 15, USA, United States, , , , , , , , , , 
Ivanovaite,  Patricija, 126, 42.02, , , LTU, Lithuania, , , , , , , , , , 
Loetscher,  Isabelle, 127, 42.01, , , SUI, Switzerland, , , , , , , , , , 
Mueller,  Lena, 128, 40.95, , 17, SUI, Switzerland, , , , , , , , , , 
Fillion,  Oceane, 129, 40.45, , 22, CAN, Canada, , , , , , , , , , 
Kvamme,  Jenny, 130, 40.38, , , NOR, Norway, , , , , , , , , , 
Antyasova,  Tianina, 131, 38.24, , , RUS, Russian Federation, , , , , , , , , , 
Milutinovic,  Angelina Gina, 132, 38.13, , , SRB, Serbia, , , , , , , , , , 
Dzon,  Antoaneta, 133, 37.87, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Mauro,  Bella, 134, 37.38, , , USA, United States, , , , , , , , , , 
Heinonen,  Heta, 135, 37.09, , , FIN, Finland, , , , , , , , , , 
Vainionpaeae,  Wilma, 136, 36.39, , , FIN, Finland, , , , , , , , , , 
Cowan,  Lola, 137, 35.02, , , USA, United States, , , , , , , , , , 
Lantos,  Emma, 138, 34.92, , , AUT, Austria, , , , , , , , , , 
Lundberg,  Julia, 139, 34.7, Burton Snowboards | Smith | , , SWE, Sweden, Goofy, 169 cm, , , , , , , , 
Taka,  Eveliina, 140, 33.75, , , FIN, Finland, , , , , , , , , , 
Gronska,  Anna, 141, 33.33, , , LAT, LAT, , , , , , , , , , 
Aizawa,  Mao, 141, 33.33, , , JPN, Japan, , , , , , , , , , 
Hlynsdottir,  Anna Kamilla, 141, 33.33, , , ISL, Iceland, , , , , , , , , , 
Luurila,  Maija, 144, 32.99, , , FIN, Finland, , , , , , , , , , 
Kolodziej,  Shirly, 145, 32.73, , , SUI, Switzerland, , , , , , , , , , 
Sun,  Lianxin, 146, 32.38, , , CHN, China, , , , , , , , , , 
Langland,  Hailey, 147, 31.59, Burton Snowboards | Rockstar | US Snowboarding | , 20, USA, United States, Regular, , , , , , , , , 
Liberg Frisvold,  Nora, 148, 30.75, , , NOR, Norway, , , , , , , , , , 
Maheux,  Emeraude, 148, 30.75, , , CAN, Canada, , , , , , , , , , 
Larkiala,  Stella, 150, 30.25, , , FIN, Finland, , , , , , , , , , 
Scheidegger,  Yuna, 101, 72.52, , , SUI, Switzerland, , , , , , , , , , 
Hanicova,  Eva, 102, 69.1, , , SVK, Slovakia, , , , , , , , , , 
Bosanac,  Mia, 103, 68.67, , , CRO, CRO, , , , , , , , , , 
Bischof,  Babet, 104, 68.31, , 20, SUI, Switzerland, Regular, , Chur, Davos| switzerland, , , , , , 
Irhina,  Elizaveta, 105, 66.8, , , RUS, Russian Federation, , , , , , , , , , 
Arvanitidou,  Eleni, 106, 66.45, , , GRE, GRE, , , , , , , , , , 
Da Silva,  Aroa, 107, 65.66, , , ESP, Spain, , , , , , , , , , 
Pizzutto,  Matilde, 108, 62.54, , , ITA, Italy, , , , , , , , , , 
Duchow,  Ellie, 109, 60.81, , , USA, United States, , , , , , , , , , 
Nerandzic,  Nadja, 110, 58.09, , , SRB, Serbia, , , , , , , , , , 
Tanno,  Livia, 111, 57.4, , 18, SUI, Switzerland, Regular, , , , , , , , , 
Gardner,  Addison, 112, 57.28, , , USA, United States, , , , , , , , , , 
Li,  Dongyu, 113, 56.13, , , CHN, China, , , , , , , , , , 
Kristiansen Rue,  Andrea, 114, 54.58, , , NOR, Norway, , , , , , , , , , 
Moroco,  Alyssa, 115, 54.1, , , USA, United States, , , , , , , , , , 
Malinauskaite,  Guoda Saule, 116, 53.95, , , LTU, Lithuania, , , , , , , , , , 
Hill,  Maisie, 117, 50.87, , 19, GBR, United Kingdom, , , , , , , , , , 
Abou,  Lola, 118, 49.72, , 22, FRA, France, Goofy, , , , , , , , , 
Hahnl,  Laura, 119, 47.3, , , GER, Germany, , , , , , , , , , 
Kalinovska,  Tina, 120, 47.22, , , LAT, LAT, , , , , , , , , , 
Pecanin,  Uma, 121, 45.04, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Rue,  Thea Christine, 122, 43.65, , , NOR, Norway, , , , , , , , , , 
Sarkipaju,  Telma, 123, 43.49, , , FIN, Finland, , , , , , , , , , 
Vachet,  Gaia, 124, 42.45, , , ITA, Italy, , , , , , , , , , 
Cospolich,  Alina, 125, 42.23, Bern Unlimited | , 15, USA, United States, , , , , , , , , , 
Ivanovaite,  Patricija, 126, 42.02, , , LTU, Lithuania, , , , , , , , , , 
Loetscher,  Isabelle, 127, 42.01, , , SUI, Switzerland, , , , , , , , , , 
Mueller,  Lena, 128, 40.95, , 17, SUI, Switzerland, , , , , , , , , , 
Fillion,  Oceane, 129, 40.45, , 22, CAN, Canada, , , , , , , , , , 
Kvamme,  Jenny, 130, 40.38, , , NOR, Norway, , , , , , , , , , 
Antyasova,  Tianina, 131, 38.24, , , RUS, Russian Federation, , , , , , , , , , 
Milutinovic,  Angelina Gina, 132, 38.13, , , SRB, Serbia, , , , , , , , , , 
Dzon,  Antoaneta, 133, 37.87, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Mauro,  Bella, 134, 37.38, , , USA, United States, , , , , , , , , , 
Heinonen,  Heta, 135, 37.09, , , FIN, Finland, , , , , , , , , , 
Vainionpaeae,  Wilma, 136, 36.39, , , FIN, Finland, , , , , , , , , , 
Cowan,  Lola, 137, 35.02, , , USA, United States, , , , , , , , , , 
Lantos,  Emma, 138, 34.92, , , AUT, Austria, , , , , , , , , , 
Lundberg,  Julia, 139, 34.7, Burton Snowboards | Smith | , , SWE, Sweden, Goofy, 169 cm, , , , , , , , 
Taka,  Eveliina, 140, 33.75, , , FIN, Finland, , , , , , , , , , 
Gronska,  Anna, 141, 33.33, , , LAT, LAT, , , , , , , , , , 
Aizawa,  Mao, 141, 33.33, , , JPN, Japan, , , , , , , , , , 
Hlynsdottir,  Anna Kamilla, 141, 33.33, , , ISL, Iceland, , , , , , , , , , 
Luurila,  Maija, 144, 32.99, , , FIN, Finland, , , , , , , , , , 
Kolodziej,  Shirly, 145, 32.73, , , SUI, Switzerland, , , , , , , , , , 
