lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Fedorowycz,  Lys, 77, 163.4, , , USA, United States, , , , , , , , , , 
Kaneko,  Keita, 78, 162.63, , , JPN, Japan, , , , , , , , , , 
Langston,  Jake, 79, 161.55, , , USA, United States, , , , , , , , , , 
Brearley,  Liam, 80, 159.2,  | , 17, CAN, Canada, Goofy, , Gravenhurst, , , , , , , 
Kuchisubo,  Raio, 81, 155.41, ELM | Salomon | , 19, JPN, Japan, Regular, , Minoshi Osaka, , , , , , , 
Lauffer,  Logan, 82, 152.77, , 18, USA, United States, Goofy, , Rifle, , , , , , , 
Gao,  Hongbo, 83, 151.82, , , CHN, China, , , , , , , , , , 
Maeda,  Rion, 84, 151.76, , , JPN, Japan, , , , , , , , , , 
Scherrer,  Ian, 85, 151.71, , , CAN, Canada, , , , , , , , , , 
Strobel,  Seth, 86, 149.64, , , CAN, Canada, , , , , , , , , , 
Schrott,  Mark, 87, 139.55, , , GER, Germany, , , , , , , , , , 
MacIsaac,  Jordan, 88, 136.26, , , CAN, Canada, , , , , , , , , , 
Melville Ives,  Cam, 89, 135.62, , , NZL, New Zealand, , , , , , , , , , 
Lewis,  Tyson, 90, 133.76, , 14, CAN, Canada, , , , , , , , , , 
Schipani,  Dante, 91, 132.81, , , USA, United States, , , , , , , , , , 
Schuetz,  Nicolas, 92, 132.36, , , SUI, Switzerland, , , , , , , , , , 
Kelly,  Connor, 93, 132.17, , , USA, United States, , , , , , , , , , 
Connolly,  John, 94, 131.05, , , USA, United States, , , , , , , , , , 
Tarakanov,  Igor, 95, 129.91, , , , Russian Federation, , , , , , , , , , 
Kreienbuehl,  Gabriel Tim, 96, 126.54, , , SUI, Switzerland, , , , , , , , , , 
KRALJ KOS,  Max, 97, 124.97, , , SLO, SLO, , , , , , , , , , 
Nagata,  Hironori, 98, 124.87, , , JPN, Japan, , , , , , , , , , 
Vo,  Ryan, 99, 124.3, , , CAN, Canada, , , , , , , , , , 
George,  Quentin, 100, 123.25, , 18, CAN, Canada, , , , , , , , , , 
Matteoli,  Ian, 101, 121.57, , , ITA, Italy, , , , , , , , , , 
Okawa,  Kotaro, 102, 118.3, , , JPN, Japan, , , , , , , , , , 
Yabu,  Ryota, 103, 114.1, , , JPN, Japan, , , , , , , , , , 
Kim,  Sang-Jae, 104, 113.53, , , KOR, Korea, Republic of, , , , , , , , , , 
Shimasaki,  Haku, 105, 110.8, , , JPN, Japan, , , , , , , , , , 
Ju,  Sikyung, 106, 110.23, , , KOR, Korea, Republic of, , , , , , , , , , 
Hoepfl,  Johannes, 107, 109.8, K2 Snowboarding | Quiksilver | , 25, GER, Germany, Regular, 1|87, Berchtesgaden, Jenner, , Johannes Höpfl, , , , 
Bucher,  Jeremy, 108, 108.25, , , SUI, Switzerland, , , , , , , , , , 
Stepanov,  Daniil, 109, 107.56, , , RUS, Russian Federation, , , , , , , , , , 
Magee,  Chris, 110, 105.09, , , USA, United States, , , , , , , , , , 
Teixeira,  Augustinho, 111, 104.7, , , BRA, Brazil, , , , , , , , , , 
Wopnford,  Owen, 112, 102.28, , 20, CAN, Canada, , , , , , , , , , 
Shimasaki,  Kyu, 113, 101.88, , , JPN, Japan, , , , , , , , , , 
Briggs,  Lucas, 114, 100.7, , , CAN, Canada, , , , , , , , , , 
Burns,  Owen, 115, 100.36, , 17, CAN, Canada, , , , , , , , , , 
Saito,  Sota, 116, 100.0, , , JPN, Japan, , , , , , , , , , 
Eckhardt,  Gregory, 117, 99.57, , , SUI, Switzerland, , , , , , , , , , 
Kim,  Hyobin, 118, 98.59, , , KOR, Korea, Republic of, , , , , , , , , , 
Tyler,  Hayden, 119, 97.21, , , USA, United States, , , , , , , , , , 
Rohrt,  Odin, 120, 95.63, , 15, NOR, Norway, Goofy, , , , , , , , , 
Sandblom,  Shayne, 121, 95.0, , , USA, United States, , , , , , , , , , 
Guseli,  Valentino, 122, 94.78, Never Summer | Volcom | , 15, AUS, Australia, Regular, , Red Hill, , , , , , , 
Minamino,  Yo, 123, 94.59, , , JPN, Japan, , , , , , , , , , 
Yamada,  Ryusei, 124, 93.6, , , JPN, Japan, , , , , , , , , , 
Kawahara,  Shiryu, 125, 91.25, , , JPN, Japan, , , , , , , , , , 
Ledezma,  Luccas, 126, 91.21, , , USA, United States, , , , , , , , , , 
Ullah,  Siddhartha, 127, 90.62, , , GBR, United Kingdom, , , , , , , , , , 
Ferguson,  Ben, 128, 88.77, Anon Optics | Burton Snowboards | DVS | Red Bull | US Snowboarding | , 25, USA, United States, Regular, , Bend, , , , , , , 
Doi,  Takumi, 129, 88.25, , , JPN, Japan, , , , , , , , , , 
Thoreson,  Hayden, 130, 87.89, , , USA, United States, , , , , , , , , , 
Pyle,  Eric, 131, 87.83, , , CAN, Canada, , , , , , , , , , 
Copenhaver,  Clay, 132, 84.5, , , USA, United States, , , , , , , , , , 
Barbieri,  Alessandro, 133, 82.61, , , USA, United States, , , , , , , , , , 
Taklo,  Johannes, 134, 81.55, , , NOR, Norway, , , , , , , , , , 
Negishi,  Shin, 135, 81.27, , , JPN, Japan, , , , , , , , , , 
Shaw,  Noah, 136, 79.19, , , CAN, Canada, , , , , , , , , , 
Malcolm,  George, 137, 78.52, , , CAN, Canada, , , , , , , , , , 
Orr,  Sumner, 138, 78.49, , , USA, United States, , , , , , , , , , 
Lee,  Hyun-Su, 139, 78.03, , , KOR, Korea, Republic of, , , , , , , , , , 
Strobel,  Rhys, 140, 77.58, , , CAN, Canada, , , , , , , , , , 
Yu,  Jingtao, 141, 77.35, , , CHN, China, , , , , , , , , , 
Haefliger,  Lars, 142, 76.51, , , SUI, Switzerland, , , , , , , , , , 
Hoffman,  Chris, 143, 75.0, , , RUS, United States, , , , , , , , , , 
Aota,  Wataru, 144, 74.88, , , JPN, Japan, , , , , , , , , , 
Jones,  Dayton, 145, 74.5, , , CAN, Canada, , , , , , , , , , 
Li,  Jian, 146, 73.56, , , CHN, China, , , , , , , , , , 
Hicks,  Kieran, 147, 73.27, Lib Technologies | Von Zipper | , 10, CAN, Canada, Goofy, , , , , , , , , 
Tanaka,  Yo, 148, 73.16, Deeluxe | , , JPN, Japan, , , , , , , , , , 
Shinei,  Yuta, 149, 72.95, , , JPN, Japan, , , , , , , , , , 
Guisolan,  Aristide, 150, 71.9, , , SUI, Switzerland, , , , , , , , , , 
Vito,  Louie, 151, 71.88, G-Shock | Kicker | Red Bull | Spy | Toyota | , 32, USA, United States, Goofy, 5ft.6ft.ft., Sandy, , www.louievito.com, www.facebook.com/louievitofanpage, www.twitter.com/@louievito, , , 
Scanland,  Cyrus, 152, 71.23, , , CAN, Canada, , , , , , , , , , 
Modesti,  Michael, 153, 69.39, , 19, CAN, Canada, , , , , , , , , , 
Okajima,  Toa, 154, 69.35, , , JPN, Japan, , , , , , , , , , 
Hamric,  Jesse, 155, 66.67, , , USA, United States, , , , , , , , , , 
Allen,  Luke, 156, 64.97, , , USA, United States, , , , , , , , , , 
Aikawa,  Takaki, 157, 64.41, , , JPN, Japan, , , , , , , , , , 
Kim,  Gyeonguk, 158, 63.58, Capita | FLUX BINDINGS | 686 | , 19, KOR, Korea, Republic of, Regular, , Changwon, , , , , , , 
Waibl,  Clemens, 159, 60.69, , , AUT, Austria, , , , , , , , , , 
Kon,  Hakuto, 160, 60.37, , , JPN, Japan, , , , , , , , , , 
Takahashi,  Yushin, 161, 60.15, , , JPN, Japan, , , , , , , , , , 
Montalvo,  Trey, 162, 59.47, , , CAN, Canada, , , , , , , , , , 
Wang,  Jian, 163, 59.17, , , CHN, China, , , , , , , , , , 
Murakami,  Konosuke, 164, 59.15, , , JPN, Japan, , , , , , , , , , 
Ishizaki,  Tasuku, 165, 58.57, Capita | Deeluxe | Union Bindings | 686 | , 37, JPN, Japan, Regular, 65kg, Niigata, nanngou/japan, blog.livedoor.jp/itask/, , , , , 
Nagai,  Eito, 166, 58.31, , , JPN, Japan, , , , , , , , , , 
Montalvo,  Blake, 167, 58.22, , , CAN, Canada, , , , , , , , , , 
Kallos,  Anderson, 168, 58.06, , , CAN, Canada, , , , , , , , , , 
Leuenberger,  Lukas, 169, 56.53, , , SUI, Switzerland, , , , , , , , , , 
Sigel,  Gus, 170, 56.42, , , USA, United States, , , , , , , , , , 
Choi,  Seongjun, 171, 56.1, , , KOR, Korea, Republic of, , , , , , , , , , 
Mitsumori,  Taichi, 172, 55.22, , , JPN, Japan, , , , , , , , , , 
Miltimore,  Jacob, 173, 54.93, , 17, CAN, Canada, , , , , , , , , , 
Hauri,  Marco, 174, 54.81, , 19, SUI, Switzerland, , , , , , , , , , 
Baden,  Nikolas, 175, 54.23, Adidas Eyewear | Steamboat Ski Resort | , 22, USA, United States, Goofy, 5ft.9in., Steamboat Springs, Steamboat, , NikBaden, www.twitter.com/@nikbaden, , , 
Bietenholz,  Leo, 176, 52.62, , , SUI, Switzerland, , , , , , , , , , 
Take,  Shinnosuke, 177, 52.44, , , JPN, Japan, , , , , , , , , , 
Staudt,  Bernhard, 178, 51.84, , , GER, Germany, , , , , , , , , , 
Menzies,  Dane, 179, 51.69, , 15, CAN, Canada, , , , , , , , , , 
Lovelock,  Zephyr, 180, 51.68, , , NZL, New Zealand, , , , , , , , , , 
Nishizuka,  Zensei, 181, 50.07, , , JPN, Japan, , , , , , , , , , 
Hofmann,  Patrick, 182, 49.95,  | , 19, SUI, Switzerland, Goofy, , , , patrick.notizia.ch/, , , , , 
Murayama,  Makoto, 183, 49.35, Flow | , 44, JPN, Japan, Goofy, 170cm, Tokyo, KAMUIMISAKA|ROIYALHILL, , , , , , 
Rose,  Michael, 184, 49.13, , , USA, United States, , , , , , , , , , 
Kim,  Danny, 185, 48.6, , , CAN, Canada, , , , , , , , , , 
Martin,  Kade, 186, 48.4, , , USA, United States, , , , , , , , , , 
Kauranen,  Mitja, 187, 48.34, , , FIN, Finland, , , , , , , , , , 
Ploetzeneder,  Max, 188, 47.88, , , AUT, Austria, , , , , , , , , , 
Gordillo-Faulkner,  Mateo, 189, 47.64, , , CAN, Canada, , , , , , , , , , 
Denda,  Jeremy, 190, 46.75, , , SUI, Switzerland, , , , , , , , , , 
Take,  Seishiro, 191, 46.29, , , JPN, Japan, , , , , , , , , , 
Shi,  Shangqian, 192, 45.76, , , CHN, China, , , , , , , , , , 
Rice,  Brian, 193, 45.71, , , USA, United States, , , , , , , , , , 
Rawdon-Harris,  Ethan, 194, 45.67, , , CAN, Canada, , , , , , , , , , 
Heninger,  Dexter, 195, 44.69, , , CAN, Canada, , , , , , , , , , 
Toledo,  Antoni, 196, 44.54, , , ESP, Spain, , , , , , , , , , 
Holland,  Hayden, 197, 44.23, , , CAN, Canada, , , , , , , , , , 
Bergstrom,  Gunnar, 198, 44.12, , , USA, United States, , , , , , , , , , 
Striukov,  Timofei, 199, 44.09, , , RUS, Russian Federation, , , , , , , , , , 
Fedorowycz,  Levko, 200, 43.72, , , USA, United States, , , , , , , , , , 
Hoeksema,  Steven, 201, 43.17, , , CAN, Canada, , , , , , , , , , 
Avallone,  Noah, 202, 42.18, Burton Snowboards | , 13, USA, United States, Goofy, , Montauk, , , , , , , 
ROBERTSON-HAHN,  Joshua, 202, 42.18, , , AUS, Australia, , , , , , , , , , 
Partanen,  Aatu, 204, 42.01, , , FIN, Finland, , , , , , , , , , 
Depriest,  Beckett, 205, 41.84, , , USA, United States, , , , , , , , , , 
Lyu,  Hanzhang, 206, 41.33, , , CHN, China, , , , , , , , , , 
Rodriguez,  Lukas, 207, 41.3, , , ESP, Spain, , , , , , , , , , 
Senzaki,  Shota, 208, 41.05, , 25, JPN, Japan, Goofy, 160cm, Kyotofu Nantansi, Across Sigenobu, , , , , , 
Schroeter,  Gion, 209, 41.01, , , SUI, Switzerland, , , , , , , , , , 
Murakami,  Renji, 210, 40.83, , , JPN, Japan, , , , , , , , , , 
Hoflacher,  Roman, 211, 40.69, , , AUT, Austria, , , , , , , , , , 
Sawada,  Yo, 212, 40.21, , , JPN, Japan, , , , , , , , , , 
Carr,  Kyle, 213, 39.87, , , CAN, Canada, , , , , , , , , , 
Kuch,  Tanner, 214, 39.36, , , USA, United States, , , , , , , , , , 
Wright,  Seth, 215, 38.55, , , USA, United States, , , , , , , , , , 
Matt,  Landen, 216, 38.48, , , USA, United States, , , , , , , , , , 
Senevisai,  Cherokee, 217, 38.25, , , USA, United States, , , , , , , , , , 
Baskakov,  Ilia, 218, 37.83, , , RUS, Russian Federation, , , , , , , , , , 
Frischhut,  Lukas, 219, 37.39, , , AUT, Austria, , , , , , , , , , 
Chen,  Maxson, 220, 36.44, , , AUS, Australia, , , , , , , , , , 
Okesson,  Tommy, 220, 36.44, , , USA, United States, , , , , , , , , , 
Saito,  Yuto, 222, 36.08, , , JPN, Japan, , , , , , , , , , 
Fujiwara,  Syuta, 223, 35.8, , , JPN, Japan, , , , , , , , , , 
Huber,  Niklas, 224, 34.23, , 16, GER, Germany, , , , , , , , , , 
Macht,  Jackson, 225, 34.12, , , CAN, Canada, , , , , , , , , , 
Jablonski,  Max, 226, 33.9, , , CAN, Canada, , , , , , , , , , 
Kim,  Taewook, 227, 33.86, , , KOR, Korea, Republic of, , , , , , , , , , 
Sonoda,  Keigo, 228, 33.4, , , JPN, Japan, , , , , , , , , , 
Haakonsen,  Terje, 229, 33.33, Burton Snowboards | Swatch | Sweet Protection | Volcom | , 46, NOR, Norway, Regular, 174 cm, Stovner, Wyller, , , , , , 
Rehnberg,  Mikko, 229, 33.33, Ride Snowboards | , 23, FIN, Finland, Regular, , Kuopio, , , , , , , 
